医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所,,
文京クリニック,,113-0022,03-3823-6614,,1,1,1,,,文京区,13105,千駄木,１-２３-３， ,カーサリーナ千駄木２階,1,,1,1,,1,,12:00~14:00,18:00~20:00,12:00~14:00,18:00~20:00,12:00~14:00,18:00~20:00,,,12:00~14:00,18:00~20:00,12:00~14:00,,13:00~16:00,,,,千駄木１-２３-３， カーサリーナ千駄木２階,35.72474,139.76054
ふるかわメディカルクリニック,,152-0023,03-6459-5539,,1,1,,,,目黒区,13110,八雲,５-１５-５,,1,,1,1,,1,,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,9:00~12:30,,,,9:00~12:30,15:00~18:30,9:00~13:00,,,,,,八雲５-１５-５,35.62176,139.66576
医療法人社団 松原内科医院,,205-0014,042-554-2427,,1,1,1,1,1,羽村市,13227,羽東,1-16-3,,,,1,1,,,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,,,,,,羽東1-16-3,35.75787,139.3139
たなかだて内科・呼吸器内科クリニック,,194-8589,web予約,https://www.tanakadate-clinic.com/,1,1,,,,町田市,13209,鶴間,2003/3/1,グランベリーパーク ステーションコート２F,,,,,,,,10:00~14:00,15:00~18:00,10:00~14:00,15:00~18:00,10:00~14:00,15:00~18:00,,,10:00~14:00,15:00~18:00,10:00~14:00,,,,なし,,鶴間3-3-1 グランベリーパーク ステーションコート２F,35.50849,139.46753
国家公務員共済組合連合会 東京共済病院,,153-8934,03-3712-3151,,1,1,1,1,1,目黒区,13110,中目黒,2002/3/8,,1,,1,1,1,,,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,0:00~12:00,英語,,中目黒2-3-8,35.63977,139.70074
医療法人社団 三光会 東日暮里クリニック,,116-0014,358116635,,,1,,,,荒川区,13118,東日暮里,3-24-16 ,ｺｰﾎﾟｵｵﾄﾘ101,1,,,,,1,,,13:00~15:00,,13:00~15:00,,,,13:00~15:00,,13:00~15:00,,13:00~14:00,,,,,東日暮里3-24-16 ｺｰﾎﾟｵｵﾄﾘ101,35.73021,139.7804
銀座スピンクリニック,,104-0061,362645125,https://www.ginza-spin-clinic.com/,,1,1,,,中央区,13102,銀座,2007/5/5,長谷第一ビル5B,1,,1,,,1,,,,,,,13:00~15:00,,,,,,,,,,1,銀座7-5-5 長谷第一ビル5B,35.67117,139.76625
村上内科クリニック,,168-0082,03-5336-3986,,1,1,,,,杉並区,13115,久我山,2003/1/25,,,,1,,1,,,11:00~12:00,16:00~18:00,11:00~12:00,16:00~18:00,11:00~12:00,16:00~18:00,,,11:00~12:00,16:00~18:00,11:00~12:00,12:00~13:00,,,,,久我山3-1-25,35.68305,139.59651
医療法人財団東京勤労者医療会 代々木病院,,151-0051,03-3404-7661,,1,1,1,,,渋谷区,13113,千駄ヶ谷,1-30-7,,1,,1,1,,1,,9:00~13:00,14:00~16:30,9:00~13:00,14:00~16:30,9:00~13:00,14:00~16:30,9:00~13:00,14:00~16:30,9:00~13:00,14:00~16:30,9:00~12:00,,,,,1,千駄ヶ谷1-30-7,35.68084,139.70995
あさくさ田原町内科クリニック,,111-0042,03-3841-1181,,1,1,1,,1,台東区,13106,寿,2002/10/11,MS田原町ビル2階,1,,1,1,,1,,9:30~12:30,15:00~18:00,9:30~12:30,15:00~18:00,,,9:30~12:30,15:00~18:00,9:30~12:30,15:00~18:00,,,,,,,寿2-10-11 MS田原町ビル2階,35.70869,139.79271
こどもみらい大島クリニック,,136-0072,03-5627-7676,,1,1,1,2,,江東区,13108,大島,6-1-4-102,,1,,,1,1,1,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,,9:00~12:00,,英語,,大島6-1-4-102,35.69347,139.83229
宮下クリニック,,143-0014,03-5764-1003,,,1,1,1,,大田区,13111,大森中,3-35-9,,1,,,,,1,,9:30~11:00,15:00~16:30,9:30~11:00,15:00~16:30,9:30~11:00,,9:30~11:00,15:00~16:30,9:30~11:00,15:00~16:30,,,,,,,大森中3-35-9,35.56315,139.73068
牛尾医院,,191-0043,042-591-2001,,1,1,,1,,日野市,13212,平山,2006/5/13,,1,,1,1,,1,,11:00~12:00,17:30~18:30,11:00~12:00,17:30~18:30,,,,17:30~18:30,11:00~12:00,17:30~18:30,,,,,,,平山6-5-13,35.6433,139.38835
せいおん耳鼻咽喉科,,114-0022,03-3907-3311,,1,1,1,1,1,北区,13117,王子本町,2001/2/12,,1,,1,1,,,,,12:00~15:00,,12:00~15:00,,12:00~15:00,,,,12:00~15:00,,,,,,,王子本町1-2-12,35.75376,139.73386
平井医院,,158-0086,03-5760-3557,,,1,,1,1,世田谷区,13112,尾山台,3-28-15,,1,,1,,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,なし,,尾山台3-28-15,35.60527,139.6571
落合ファミリークリニック,,161-0034,03-5989-1477,,1,1,,1,,新宿区,13104,上落合,2002/11/16,,,,1,1,,,,8:30~12:00,14:30~17:30,8:30~12:00,14:30~17:30,,,8:30~12:00,14:30~17:30,8:30~12:00,14:30~17:30,8:30~12:00,,,,日常会話程度の英語,,上落合2-11-16,35.71349,139.69243
医療法人社団　慈正会　天沼医院,,121-0812,03-3883-8855,,1,1,,1,1,足立区,13121,西保木間,4-5-14-2,,,,1,1,,,,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,,,9:00~12:30,14:30~18:00,9:00~12:00,,9:00~12:00,,,,西保木間4-5-14-2,35.80167,139.79404
橋本医院,,165-0027,03-3389-0355,,,1,,,,中野区,13114,野方,"3-15-3",,1,,1,,1,1,,,15:00~16:00,,15:00~16:00,,15:00~16:00,,,,15:00~16:00,10:00~11:00,,,,,1,"野方3-15-3",35.71839,139.65579
あきる野総合クリニック,,197-0802,042-518-2088,,1,1,1,1,1,あきる野市,13228,草花,1439-9,,1,,1,1,,,,9:00~11:00,16:00~17:00,9:00~11:00,16:00~17:00,9:00~11:00,16:00~17:00,9:00~11:00,16:00~17:00,9:00~11:00,16:00~17:00,9:00~11:00,14:00~15:00,9:00~11:00,14:00~15:00,中国語（小児科のみ）,,草花1439-9,35.73871,139.31033
つかだクリニック,,168-0081,03-5336-6626,,,1,,1,1,杉並区,13115,宮前,５-１５-２１-２０１,,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,宮前５-１５-２１-２０１,35.69336,139.6019
今井内科医院,,105-0004,03-3432-2166,受診前に必ずお電話下さい。,1,1,1,,,港区,13103,新橋,5丁目7番地12号 ,丸石新橋ビル2階,1,,1,1,1,1,,9:00~13:00,14:00~17:00,9:00~13:00,14:00~17:00,9:00~14:00,,9:00~13:00,14:00~17:00,9:00~13:00,14:00~17:00,9:00~14:00,,,,,,新橋5丁目7番地12号 丸石新橋ビル2階,35.6638,139.75447
鵜戸西クリニック,,182-0017,042-482-8658,,1,1,1,,1,調布市,13208,深大寺元町,4-31-2,,1,,,1,,1,,,3:00~4:00,,,,3:00~4:00,,3:00~4:00,,3:00~4:00,,3:00~4:00,,3:00~3:30,,,深大寺元町4-31-2,35.67161,139.54419
オハナこどもクリニック赤羽,,115-0055,03-5993-5087,,1,1,1,1,1,北区,13117,赤羽西,1-36-11-2F,,1,,1,1,,1,,8:30~12:00,14:00~18:30,8:30~12:00,14:00~18:30,8:30~12:00,,8:30~12:00,14:00~18:30,8:30~12:00,14:00~18:30,8:30~12:00,14:00~17:00,8:30~12:00,14:00~17:00,,,赤羽西1-36-11-2F,35.77755,139.7171
上野国際医院,,110-0005,03-5846-5355,,,1,1,,,台東区,13106,上野,2004/5/4,ミヤタビル2F,1,,1,1,1,,,10:00~13:00,15:00~18:00,10:00~13:00,15:00~18:00,,,10:00~13:00,,,,10:00~13:00,15:00~18:00,10:00~13:00,,英語 中国語,,上野4-5-4 ミヤタビル2F,35.70541,139.7731
木村クリニック,,153-0052,03-3713-3635,,1,1,,,,目黒区,13110,祐天寺,"2-14-19四宮ビル３Ｆ",,1,,1,,1,,,,,,,,,,,,,,,8:30~10:30,,,,"祐天寺2-14-19四宮ビル３Ｆ",35.63691,139.69099
喜多見やの耳鼻科,,157-0067,03-6411-0322,,,1,,1,1,世田谷区,13112,喜多見,８-１８-１２,,,,,,,,,,,9:00~11:30,15:30~18:00,,,,,,,,,,,,,喜多見８-１８-１２,35.63623,139.58826
かどた内科クリニック,,155-0032,03-6413-8333,,,1,1,,,世田谷区,13112,代沢,5-18-1-2階,,1,,,,,1,,11:00~13:00,15:00~16:00,11:00~13:00,15:00~16:00,,,11:00~13:00,15:00~16:00,11:00~13:00,15:00~16:00,11:00~13:00,14:00~15:00,,,無し,,代沢5-18-1-2階,35.65696,139.66734
西戸山クリニック,,169-0073,03-5337-7501,,1,1,,,,新宿区,13104,百人町,3-7-8原ビル2階,,1,,1,1,,,,9:00~13:00,14:30~18:30,,,9:00~13:00,14:30~18:30,9:00~13:00,,9:00~13:00,14:30~18:30,9:00~13:00,,9:00~13:00,,,1,百人町3-7-8原ビル2階,35.70769,139.69739
医療法人社団冠心会 大崎病院東京ハートセンター,,141-0001,03-5789-8100,,1,1,1,,,品川区,13109,北品川,2005/4/12,,1,,1,1,1,1,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,,,,英語,,北品川5-4-12,35.61821,139.74309
医療法人社団いちょうの樹　木田医院,,183-0055,042-368-5688,,,1,,1,,府中市,13206,府中町,1-15-1　,シティハウス府中けやき通り1階,1,,,,1,1,,11:30~12:30,17:30~18:00,11:30~12:30,17:30~18:00,,,11:30~12:30,17:30~18:00,11:30~12:30,17:30~18:00,11:30~12:30,,,,,,府中町1-15-1　シティハウス府中けやき通り1階,35.67445,139.47957
大西クリニック,,140-0014,337751241,,,1,,,,品川区,13109,大井,2005/5/30,大西ビル1階・地下1階,1,,,,,1,,9:00~12:00,15:30~18:30,9:00~12:00,15:30~18:30,9:00~12:00,,9:00~12:00,15:30~18:30,9:00~12:00,15:30~18:30,9:00~12:00,14:00~15:30,,,,,大井5-5-30　大西ビル1階・地下1階,35.59571,139.73102
川島医院,,105-0001,03-3519-6651,,1,1,1,,,港区,13103,虎ノ門,1-8-14三昭ビル3F,,1,,1,1,1,1,,,13:30~14:30,,,,13:30~14:30,,,,,,,,,,,虎ノ門1-8-14三昭ビル3F,35.66924,139.75061
医療法人社団千心会 しらかわ耳鼻咽喉科クリニック,,135-0021,03-5245-3387,,,1,,1,,江東区,13108,白河,3-4-3-202,,1,,1,1,1,1,,11:30~12:15,17:30~18:15,11:30~12:15,,11:30~12:15,17:30~18:15,11:00~11:30,,11:30~12:15,17:30~18:15,11:30~12:30,,,,,,白河3-4-3-202,35.68221,139.806
そしがや駅前耳鼻咽喉科クリニック,,157-0073,03-3749-8787,,1,1,,,,世田谷区,13112,砧,6丁目-３３-５ ,1階,1,,1,,1,,,11:30~12:30,,11:30~12:30,,11:30~12:30,,,,11:30~12:30,,,,,,,,砧6丁目-３３-５ 1階,35.64199,139.60931
赤羽並木通りクリニック　内科・脳神経内科,,115-0055,03-3900-5566,,1,1,1,,,北区,13117,赤羽西,１-３６-１１ー３F,,1,,,1,,1,,12:15~12:45,17:15~17:45,12:15~12:45,17:15~17:45,12:15~12:45,17:15~17:45,,,12:15~12:45,17:15~17:45,13:15~13:45,,,,,,赤羽西１-３６-１１ー３F,35.77755,139.7171
石田クリニック,,191-0012,042-843-2608,なし,,1,,,,日野市,13212,日野,１０２７-１　,MIYABI BLDG.2階,1,,1,,1,1,,,18:30~19:00,,18:30~19:00,,18:30~19:00,,18:30~19:00,,,,12:30~13:00,,,なし,,日野１０２７-１　MIYABI BLDG.2階,35.67721,139.4097
東小金井くろだ内科医院,,184-0002,0422-53-5666,,1,1,1,,,小金井市,13210,梶野町,2004/11/13,,1,,1,1,1,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,梶野町4-11-13,35.70359,139.52985
荒巻医院,,198-0032,0428-24-8561,,,1,,,,青梅市,13205,野上町,2004/3/6,,1,,1,1,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,12:00~13:00,,,,,,野上町4-3-6,35.78715,139.2897
医療法人社団清美会 宮園内科クリニック,,179-0075,03-3825-1001,,1,1,,,,練馬区,13120,高松,１-４２-２０,,1,,1,,1,1,,,,11:00~12:00,,,,,16:00~17:00,,,12:00~13:00,,,,,,高松１-４２-２０,35.75072,139.6326
医療法人社団博栄会赤羽中央総合病院,,115-0042,03-3902-0348,,1,1,,,,北区,13117,志茂,1-19-14,,,1,,1,,,,10:00~11:00,14:00~15:00,10:00~11:00,14:00~15:00,10:00~11:00,14:00~15:00,10:00~11:00,14:00~15:00,10:00~11:00,14:00~15:00,10:00~11:00,,,13:00~13:30,,,志茂1-19-14,35.77691,139.72734
予防接種のこども診療所,,182-0023,042-455-1889,,,1,,2,,調布市,13208,染地,２-４３-７６,,1,,1,1,1,1,,,,,,,,,,,,10:00~12:00,13:00~18:00,10:00~12:00,13:00~18:00,,,染地２-４３-７６,35.64005,139.54716
金子医院,,116-0003,03-3891-2945,,1,1,,1,,荒川区,13118,南千住,6丁目47番11号,,1,,1,1,,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,南千住6丁目47番11号,35.73477,139.79343
知久医院,,179-0085,03-3994-0220,,1,1,1,,1,練馬区,13120,早宮,1-22-14,,1,,1,,1,1,,11:00~12:00,17:30~18:00,11:00~12:00,17:30~18:00,11:00~12:00,17:30~18:00,,,11:00~12:00,17:30~18:00,11:00~12:00,,,,,,早宮1-22-14,35.74989,139.65891
白金三光クリニック,,108-0072,03-6456-4350,,1,1,1,,,港区,13103,白金,１-２５-３１ ,レジデンス白金１０２,1,,1,1,,1,,11:30~12:30,17:30~19:00,11:30~12:30,17:30~19:00,11:30~12:30,17:30~19:00,11:30~12:30,17:30~19:00,11:30~12:30,17:30~19:00,11:30~12:30,,,,,,白金１-２５-３１ レジデンス白金１０２,35.64427,139.73215
酒井内科・神経内科クリニック,,134-0088,03-6808-2807,,,1,,,2,江戸川区,13123,西葛西,6-15-20 ,アイビーハイツ２F,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,西葛西6-15-20 アイビーハイツ２F,35.66413,139.86052
医療法人社団　建寿会　潮耳鼻咽喉科クリニック,,125-0042,03-3607-4133,,1,1,1,1,1,葛飾区,13122,金町,2006/4/2,ラヴィクレール金町2階,,1,,1,,,,9:30~12:30,14:30~18:30,9:30~12:30,14:30~18:30,,,9:30~12:30,14:30~18:30,9:30~12:30,14:30~18:30,9:00~12:30,,,,英語,,金町6-4-2　ラヴィクレール金町2階,35.76414,139.87032
医療法人社団鉄祐会　祐ホームクリニック赤羽,,115-0051,050-3612-9710,,,1,,,,北区,13117,浮間,2003/2/7,プリムヴェーレ1階,1,,1,1,,1,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,12:00~13:00,,,,,,,浮間3-2-7　プリムヴェーレ1階,35.78624,139.70158
医療法人社団鉄祐会 祐ホームクリニック豊島,,171-0044,050-3358-2776,,1,1,,,,豊島区,13116,千早,2丁目40番1号1階,,1,,1,1,1,1,,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,,,,,,,千早2丁目40番1号1階,35.73617,139.69049
医療法人社団慶結会レイズクリニック青山,,150-0001,03-5786-1051,,1,1,1,,1,渋谷区,13113,神宮前,3-42-2 ,VORT外苑前Ⅲ地下1階,1,,,,,1,,,12:00~22:00,,,,12:00~22:00,,12:00~22:00,,12:00~22:00,,12:00~22:00,,12:00~22:00,,,神宮前3-42-2 VORT外苑前Ⅲ地下1階,35.67125,139.71396
医療法人社団邦仁会 足高・森内科クリニック,,153-0043,03-3710-2077,,1,1,,,,目黒区,13110,東山,2001/4/4,目黒東山ビル2階,1,,1,1,,1,,11:00~12:00,16:00~18:30,11:00~12:00,16:00~18:30,11:00~12:00,,11:00~12:00,16:00~18:30,11:00~12:00,16:00~18:30,11:00~12:00,,,,,,東山1-4-4 目黒東山ビル2階,35.6464,139.68723
医療法人社団 俊光会 おおの耳鼻咽喉科クリニック,,173-0004,03-5375-8733,,1,1,,1,1,板橋区,13119,板橋,2-66-16 ,板橋266ビル２F,1,,1,1,,,,,15:00~15:45,,15:00~15:45,,,,15:00~15:45,,15:00~15:45,,,,,,,板橋2-66-16 板橋266ビル２F,35.75111,139.70912
医療法人社団彩祥会 中島皮フ科,,115-0045,03-3598-2823,https://akabane.mdja.jp/,1,1,1,,,北区,13117,赤羽,2-23-2,,1,,1,,1,1,,,,,13:00~18:00,,,,,,13:00~18:00,,,,,,,赤羽2-23-2,35.78006,139.72435
医療法人社団竹榮舎　晴海クリニック,,104-0053,03-3531-0937,,1,1,1,,,中央区,13102,晴海,2001/6/5,晴海ビュープラザ203,,,1,,1,,,9:00~12:30,15:00~18:00,9:00~12:30,15:00~18:00,,,9:00~12:30,15:00~18:00,9:00~12:30,15:00~18:00,9:00~12:30,,,,,,晴海1-6-5　晴海ビュープラザ203,35.64951,139.77505
さいしょ小児科,,174-0074,03-5986-1271,,1,1,1,1,1,板橋区,13119,東新町,2-55-4,,1,,1,1,,1,,11:00~12:00,4:30~6:30,11:00~12:00,4:30~6:30,11:00~12:00,4:30~6:30,11:00~12:00,4:30~6:30,11:00~12:00,4:30~6:30,11:00~12:30,,11:00~12:30,,,,東新町2-55-4,35.75319,139.68263
"医療法人社団哲信会　府中クリニック",,183-0006,042-366-5483,,1,1,,,,府中市,13206,緑町,2001/3/1,,1,,,,,,,12:30~13:00,17:30~18:00,12:30~13:00,17:30~18:00,12:30~13:00,17:30~18:00,,,12:30~13:00,17:30~18:00,,,,,,,緑町1-3-1,35.67112,139.49263
東京都神津島村国民健康保険直営診療所,,100-0601,04992-8-1121,,1,1,1,1,1,神津島村,13364,,1009-1,,1,,1,1,1,,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,英語：要相談,,1009-1,34.20461,139.13504
武蔵境病院付属あんずクリニック,,180-0023,0422-50-9770,,1,1,1,1,1,武蔵野市,13203,境南町,2004/1/15,,1,,1,1,1,1,,10:00~12:00,14:30~15:30,10:00~12:00,14:30~15:30,10:00~12:00,15:00~15:30,10:00~12:00,14:30~15:30,10:00~12:00,14:30~15:30,,14:30~15:30,,,,,境南町4-1-15,35.69658,139.53911
医療法人社団鉄祐会 祐ホームクリニック千石,,112-0011,050-3784-2001,,,1,,,,文京区,13105,千石,4丁目25-5 ,KSTビル3階,1,1,1,1,1,1,,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,12:00~13:00,16:00~17:00,,,,,,,千石4丁目25-5 KSTビル3階,35.73013,139.73988
エルブイビークリニック,,160-0023,web予約,lvbcl.jp,1,1,1,,,新宿区,13104,西新宿,"３-９-１西新宿ティーオービル5階",,1,,1,1,,1,,7:00~12:00,13:00~19:00,8:00~12:00,13:00~19:00,8:00~12:00,13:00~19:00,,,,,8:00~12:00,13:00~19:00,8:00~12:00,13:00~19:00,英語,,"西新宿３-９-１西新宿ティーオービル5階",35.6846,139.68994
